"Standard","Requirement","Status","Evidence","Owner","Issue","Severity","Fix Required","Retest Date"
"Product Clarity","Problem statement clearly explains fragmented/manual club administration","Pass","","Goodluck Jesse Kassa","","","",""
"Product Clarity","Exact users are listed including students presidents executives advisors admins and feedback manager","Pass","","Goodluck Jesse Kassa","","","",""
"Product Clarity","Core workflow is defined as join club submit dues proof verify payment activate membership","Pass","","Goodluck Jesse Kassa","","","",""
"Product Clarity","Week 2 success definition includes onboarding core workflow completion and no critical blockers","Pass","","Rita Ude","","","",""
"Product Clarity","What We Are Testing is clearly stated for real club onboarding dues proposals reports feedback and notifications","Pass","","Goodluck Jesse Kassa","","","",""
"Workflow Mapping","CampusOne login and profile access workflow is mapped and tested","Not Tested","","Goodluck Jesse Kassa","Requires CampusOne production validation.","High","Test this with the final CampusOne domain/login configuration and attach evidence.",""
"Workflow Mapping","Discover and join club workflow is mapped and tested","Pass","","Goodluck Jesse Kassa","","","",""
"Workflow Mapping","Dues submission and verification workflow is mapped and tested","Pass","","Goodluck Jesse Kassa","","","",""
"Workflow Mapping","Membership activation workflow is mapped and tested","Pass","","Goodluck Jesse Kassa","","","",""
"Workflow Mapping","Proposal approval workflow is mapped and tested","Pass","","Goodluck Jesse Kassa","","","",""
"Workflow Mapping","Event RSVP and QR check-in workflow is mapped and tested","Pass","","Goodluck Jesse Kassa","","","",""
"Workflow Mapping","Report download and media archive workflow is mapped and tested","Pass","","Goodluck Jesse Kassa","","","",""
"Workflow Mapping","App feedback submission and review workflow is mapped and tested","Pass","","Goodluck Jesse Kassa","","","",""
"Ownership","Deployment Lead is confirmed as Migaki","Pass","","Goodluck Jesse Kassa","","","",""
"Ownership","Onboarding Owner is named","Pass","","Rita Ude","","","",""
"Ownership","Technical Owner is named","Pass","","Goodluck Jesse Kassa","","","",""
"Ownership","Support Lead is named","Pass","","Josiah","","","",""
"Ownership","Monitoring Lead is named","Pass","","Goodluck Jesse Kassa","","","",""
"Ownership","Feedback Lead is named","Pass","","Goodluck Jesse Kassa","","","",""
"Onboarding","New student can access NileHive through CampusOne without developer help","Not Tested","","Rita Ude","Requires CampusOne production validation.","High","Test this with the final CampusOne domain/login configuration and attach evidence.",""
"Onboarding","Guided onboarding appears for first-time users","Pass","","Kamsi Ivoke","","","",""
"Onboarding","Guided onboarding can be restarted with Help Guide","Pass","","Kamsi Ivoke","","","",""
"Onboarding","Student understands NileHive purpose within 2 minutes","Pass","","Rita Ude","","","",""
"Onboarding","Student can find Discover Clubs independently","Pass","","Rita Ude","","","",""
"Onboarding","Profile setup can be completed independently","Pass","","Rita Ude","","","",""
"Onboarding","University ID requirement blocks missing or invalid ID with friendly error","Pass","","Rita Ude","","","",""
"Onboarding","Welcome or orientation material exists","Pass","","Rita Ude","","","",""
"Core Workflow","Student can discover a club","Pass","","Goodluck Jesse Kassa","","","",""
"Core Workflow","Student can submit club join request","Pass","","Goodluck Jesse Kassa","","","",""
"Core Workflow","Student can submit dues or payment proof","Pass","","Goodluck Jesse Kassa","","","",""
"Core Workflow","Admin can view dues pending verification","Pass","","Goodluck Jesse Kassa","","","",""
"Core Workflow","President can view own-club dues pending verification","Pass","","Goodluck Jesse Kassa","","","",""
"Core Workflow","Admin or president can approve dues without raw database error","Pass","","Goodluck Jesse Kassa","","","",""
"Core Workflow","Admin or president can reject dues with readable status","Pass","","Goodluck Jesse Kassa","","","",""
"Core Workflow","Membership becomes active after verification","Pass","","Goodluck Jesse Kassa","","","",""
"Core Workflow","Student can see membership status after logout and login","Pass","","Goodluck Jesse Kassa","","","",""
"Core Workflow","Primary workflow can be completed by non-builder tester","Pass","","Goodluck Jesse Kassa","","","",""
"Technical Stability","Production frontend loads on desktop","Pass","","Goodluck Jesse Kassa","","","",""
"Technical Stability","Production frontend loads on mobile browser","Pass","","Goodluck Jesse Kassa","","","",""
"Technical Stability","Backend ready endpoint returns success","Pass","","Goodluck Jesse Kassa","","","",""
"Technical Stability","Backend health endpoint returns success","Pass","","Goodluck Jesse Kassa","","","",""
"Technical Stability","CampusOne login works","Not Tested","","Goodluck Jesse Kassa","Requires CampusOne production validation.","High","Test this with the final CampusOne domain/login configuration and attach evidence.",""
"Technical Stability","Logout works","Pass","","Goodluck Jesse Kassa","","","",""
"Technical Stability","Session persists or expires predictably","Pass","","Goodluck Jesse Kassa","","","",""
"Technical Stability","User submissions save and persist across sessions","Pass","","Goodluck Jesse Kassa","","","",""
"Technical Stability","Frontend build passes","Pass","","Goodluck Jesse Kassa","","","",""
"Technical Stability","Backend targeted tests pass","Pass","","Goodluck Jesse Kassa","","","",""
"Technical Stability","Feedback migration 0045 is applied","Pass","","Goodluck Jesse Kassa","","","",""
"Technical Stability","Feedback manager migration 0046 is applied","Pass","","Goodluck Jesse Kassa","","","",""
"Technical Stability","CORS allows final CampusOne frontend domain","Not Tested","","Goodluck Jesse Kassa","Requires CampusOne production validation.","High","Test this with the final CampusOne domain/login configuration and attach evidence.",""
"Technical Stability","No known critical bugs block onboarding dues or admin verification","Pass","","Goodluck Jesse Kassa","","","",""
"Error Handling","Missing University ID shows friendly error","Pass","","Goodluck Jesse Kassa","","","",""
"Error Handling","Missing receipt or proof shows friendly error where required","Pass","","Goodluck Jesse Kassa","","","",""
"Error Handling","Unauthorized access shows readable error or redirect","Pass","","Goodluck Jesse Kassa","","","",""
"Error Handling","Feedback failure shows friendly red toast","Pass","","Goodluck Jesse Kassa","","","",""
"Error Handling","No raw database errors are shown to users","Pass","","Goodluck Jesse Kassa","","","",""
"Support","User support channel is visible","Pass","","Josiah","","","",""
"Support","Support Lead is reachable","Pass","","Josiah","","","",""
"Support","Critical issue response target is documented","Pass","","Josiah","","","",""
"Support","High issue response target is documented","Pass","","Josiah","","","",""
"Support","Medium issue response target is documented","Pass","","Josiah","","","",""
"Support","Low issue response target is documented","Pass","","Josiah","","","",""
"Support","Escalation path is documented and shared","Pass","","Josiah","","","",""
"Support","Outage plan exists for CampusOne login failure","Not Tested","","Josiah","Requires CampusOne production validation.","High","Test this with the final CampusOne domain/login configuration and attach evidence.",""
"Support","Outage plan exists for backend API failure","Pass","","Goodluck Jesse Kassa","","","",""
"Support","Outage plan exists for database migration failure","Pass","","Goodluck Jesse Kassa","","","",""
"Support","Outage plan exists for dues workflow failure","Pass","","Josiah","","","",""
"Feedback Collection","All users can submit app feedback","Pass","","Goodluck Jesse Kassa","","","",""
"Feedback Collection","Students cannot view private feedback list","Pass","","Goodluck Jesse Kassa","","","",""
"Feedback Collection","Feedback manager can view app feedback inbox","Pass","","Goodluck Jesse Kassa","","","",""
"Feedback Collection","Feedback manager cannot view event feedback","Pass","","Goodluck Jesse Kassa","","","",""
"Feedback Collection","Feedback manager cannot view club operational feedback","Pass","","Goodluck Jesse Kassa","","","",""
"Feedback Collection","Admin can view feedback","Pass","","Goodluck Jesse Kassa","","","",""
"Feedback Collection","Admin can export feedback CSV","Pass","","Goodluck Jesse Kassa","","","",""
"Feedback Collection","Week 1 feedback touchpoint is scheduled","Pass","","Goodluck Jesse Kassa","","","",""
"Feedback Collection","Week 2 feedback touchpoint is scheduled","Pass","","Goodluck Jesse Kassa","","","",""
"Student Validation","Student logs in through CampusOne","Not Tested","","Rita Ude","Requires CampusOne production validation.","High","Test this with the final CampusOne domain/login configuration and attach evidence.",""
"Student Validation","Student completes profile setup","Pass","","Rita Ude","","","",""
"Student Validation","Student joins club","Pass","","Rita Ude","","","",""
"Student Validation","Student submits dues payment proof","Pass","","Rita Ude","","","",""
"Student Validation","Student views membership status","Pass","","Rita Ude","","","",""
"Student Validation","Student views events","Pass","","Rita Ude","","","",""
"Student Validation","Student submits app feedback","Pass","","Rita Ude","","","",""
"President Validation","President sees own club only","Pass","","Goodluck Jesse Kassa","","","",""
"President Validation","President cannot see another club events or past events","Pass","","Goodluck Jesse Kassa","","","",""
"President Validation","President reviews membership requests","Pass","","Goodluck Jesse Kassa","","","",""
"President Validation","President verifies dues records","Pass","","Goodluck Jesse Kassa","","","",""
"President Validation","President creates proposal","Pass","","Goodluck Jesse Kassa","","","",""
"President Validation","President displays QR check-in","Pass","","Goodluck Jesse Kassa","","","",""
"President Validation","President prints QR without popup blocker issue","Pass","","Goodluck Jesse Kassa","","","",""
"President Validation","President downloads event report or media","Pass","","Goodluck Jesse Kassa","","","",""
"Executive Validation","Executive views dashboard","Pass","","Goodluck Jesse Kassa","","","",""
"Executive Validation","Executive views assigned tasks","Pass","","Goodluck Jesse Kassa","","","",""
"Executive Validation","Executive views announcements","Pass","","Goodluck Jesse Kassa","","","",""
"Executive Validation","Executive views allowed events","Pass","","Goodluck Jesse Kassa","","","",""
"Executive Validation","Executive submits app feedback","Pass","","Goodluck Jesse Kassa","","","",""
"Advisor Validation","Advisor views pending approvals","Pass","","Goodluck Jesse Kassa","","","",""
"Advisor Validation","Advisor approves proposal","Pass","","Goodluck Jesse Kassa","","","",""
"Advisor Validation","Advisor rejects proposal","Pass","","Goodluck Jesse Kassa","","","",""
"Advisor Validation","Advisor views assigned-club events","Pass","","Goodluck Jesse Kassa","","","",""
"Advisor Validation","Advisor views reports archive","Pass","","Goodluck Jesse Kassa","","","",""
"Advisor Validation","Advisor views allowed feedback","Pass","","Goodluck Jesse Kassa","","","",""
"Admin Validation","Admin opens operations dashboard","Pass","","Goodluck Jesse Kassa","","","",""
"Admin Validation","Admin manages local roles except admin and feedback manager","Pass","","Goodluck Jesse Kassa","","","",""
"Admin Validation","Admin verifies dues across clubs","Pass","","Goodluck Jesse Kassa","","","",""
"Admin Validation","Admin filters dues by club","Pass","","Goodluck Jesse Kassa","","","",""
"Admin Validation","Admin reviews proposals","Pass","","Goodluck Jesse Kassa","","","",""
"Admin Validation","Admin downloads performance matrix","Pass","","Goodluck Jesse Kassa","","","",""
"Admin Validation","Admin downloads club performance PDF","Pass","","Goodluck Jesse Kassa","","","",""
"Admin Validation","Admin exports feedback CSV","Pass","","Goodluck Jesse Kassa","","","",""
"Feedback Manager Validation","Feedback manager logs in normally","Pass","","Goodluck Jesse Kassa","","","",""
"Feedback Manager Validation","Feedback manager redirects to feedback page","Pass","","Goodluck Jesse Kassa","","","",""
"Feedback Manager Validation","Feedback manager sidebar only shows app feedback","Pass","","Goodluck Jesse Kassa","","","",""
"Feedback Manager Validation","Feedback manager sees app feedback inbox","Pass","","Goodluck Jesse Kassa","","","",""
"Feedback Manager Validation","Feedback manager filters by category","Pass","","Goodluck Jesse Kassa","","","",""
"Feedback Manager Validation","Feedback manager filters by status","Pass","","Goodluck Jesse Kassa","","","",""
"Feedback Manager Validation","Feedback manager exports app feedback CSV","Pass","","Goodluck Jesse Kassa","","","",""
"Feedback Manager Validation","Feedback manager is blocked from user management","Pass","","Goodluck Jesse Kassa","","","",""
"Feedback Manager Validation","Feedback manager is blocked from dues","Pass","","Goodluck Jesse Kassa","","","",""
"Feedback Manager Validation","Feedback manager is blocked from proposals","Pass","","Goodluck Jesse Kassa","","","",""
"Feedback Manager Validation","Feedback manager is blocked from events","Pass","","Goodluck Jesse Kassa","","","",""
"Feedback Manager Validation","Feedback manager is blocked from archive","Pass","","Goodluck Jesse Kassa","","","",""
"Edge Cases","Empty required fields show validation errors","Pass","","Goodluck Jesse Kassa","","","",""
"Edge Cases","Missing University ID is blocked","Pass","","Goodluck Jesse Kassa","","","",""
"Edge Cases","Invalid University ID format is blocked","Pass","","Goodluck Jesse Kassa","","","",""
"Edge Cases","Missing receipt or payment proof is handled","Pass","","Goodluck Jesse Kassa","","","",""
"Edge Cases","Duplicate join request does not break workflow","Pass","","Goodluck Jesse Kassa","","","",""
"Edge Cases","Duplicate event feedback is blocked","Pass","","Goodluck Jesse Kassa","","","",""
"Edge Cases","Existing president replacement conflict shows confirmation","Pass","","Goodluck Jesse Kassa","","","",""
"Edge Cases","Unauthorized page access is blocked","Pass","","Goodluck Jesse Kassa","","","",""
"Edge Cases","Feedback submission without club works","Pass","","Goodluck Jesse Kassa","","","",""
"Edge Cases","Network interruption during upload is handled or logged","Pass","","Goodluck Jesse Kassa","","","",""
"KPI Tracking","KPI tracker exists","Pass","KPI tracker exists; detailed KPI fields still require live validation.","Goodluck Jesse Kassa","","","",""
"KPI Tracking","Invited users are tracked","Not Tested","","Goodluck Jesse Kassa","KPI tracker exists, but this KPI item has not been validated with live deployment data yet.","Medium","Validate this KPI during Week 1/Week 2 deployment monitoring and attach evidence.",""
"KPI Tracking","Onboarded users are tracked","Not Tested","","Goodluck Jesse Kassa","KPI tracker exists, but this KPI item has not been validated with live deployment data yet.","Medium","Validate this KPI during Week 1/Week 2 deployment monitoring and attach evidence.",""
"KPI Tracking","Weekly active users are tracked","Not Tested","","Goodluck Jesse Kassa","KPI tracker exists, but this KPI item has not been validated with live deployment data yet.","Medium","Validate this KPI during Week 1/Week 2 deployment monitoring and attach evidence.",""
"KPI Tracking","Club join started is tracked","Not Tested","","Goodluck Jesse Kassa","KPI tracker exists, but this KPI item has not been validated with live deployment data yet.","Medium","Validate this KPI during Week 1/Week 2 deployment monitoring and attach evidence.",""
"KPI Tracking","Club join completed is tracked","Not Tested","","Goodluck Jesse Kassa","KPI tracker exists, but this KPI item has not been validated with live deployment data yet.","Medium","Validate this KPI during Week 1/Week 2 deployment monitoring and attach evidence.",""
"KPI Tracking","Dues submitted is tracked","Not Tested","","Goodluck Jesse Kassa","KPI tracker exists, but this KPI item has not been validated with live deployment data yet.","Medium","Validate this KPI during Week 1/Week 2 deployment monitoring and attach evidence.",""
"KPI Tracking","Dues verified is tracked","Not Tested","","Goodluck Jesse Kassa","KPI tracker exists, but this KPI item has not been validated with live deployment data yet.","Medium","Validate this KPI during Week 1/Week 2 deployment monitoring and attach evidence.",""
"KPI Tracking","Feedback submitted is tracked","Not Tested","","Goodluck Jesse Kassa","KPI tracker exists, but this KPI item has not been validated with live deployment data yet.","Medium","Validate this KPI during Week 1/Week 2 deployment monitoring and attach evidence.",""
"KPI Tracking","Critical issues raised and resolved are tracked","Not Tested","","Goodluck Jesse Kassa","KPI tracker exists, but this KPI item has not been validated with live deployment data yet.","Medium","Validate this KPI during Week 1/Week 2 deployment monitoring and attach evidence.",""
"KPI Tracking","Onboarding completion target is at least 80 percent","Not Tested","","Goodluck Jesse Kassa","KPI tracker exists, but this KPI item has not been validated with live deployment data yet.","Medium","Validate this KPI during Week 1/Week 2 deployment monitoring and attach evidence.",""
"KPI Tracking","Weekly active usage target is at least 60 percent","Not Tested","","Goodluck Jesse Kassa","KPI tracker exists, but this KPI item has not been validated with live deployment data yet.","Medium","Validate this KPI during Week 1/Week 2 deployment monitoring and attach evidence.",""
"KPI Tracking","Core workflow completion target is at least 70 percent","Not Tested","","Goodluck Jesse Kassa","KPI tracker exists, but this KPI item has not been validated with live deployment data yet.","Medium","Validate this KPI during Week 1/Week 2 deployment monitoring and attach evidence.",""
"KPI Tracking","Critical issue response target is under 24 hours","Not Tested","","Goodluck Jesse Kassa","KPI tracker exists, but this KPI item has not been validated with live deployment data yet.","Medium","Validate this KPI during Week 1/Week 2 deployment monitoring and attach evidence.",""
"KPI Tracking","Feedback collection target is at least 50 percent","Not Tested","","Goodluck Jesse Kassa","KPI tracker exists, but this KPI item has not been validated with live deployment data yet.","Medium","Validate this KPI during Week 1/Week 2 deployment monitoring and attach evidence.",""
"KPI Tracking","Platform reliability target is at least 95 percent uptime","Not Tested","","Goodluck Jesse Kassa","KPI tracker exists, but this KPI item has not been validated with live deployment data yet.","Medium","Validate this KPI during Week 1/Week 2 deployment monitoring and attach evidence.",""
"KPI Tracking","Dues verification target is under 24 hours","Not Tested","","Goodluck Jesse Kassa","KPI tracker exists, but this KPI item has not been validated with live deployment data yet.","Medium","Validate this KPI during Week 1/Week 2 deployment monitoring and attach evidence.",""
"KPI Tracking","Proposal review completion target is at least 70 percent","Not Tested","","Goodluck Jesse Kassa","KPI tracker exists, but this KPI item has not been validated with live deployment data yet.","Medium","Validate this KPI during Week 1/Week 2 deployment monitoring and attach evidence.",""
"KPI Tracking","Event engagement capture target is at least 60 percent","Not Tested","","Goodluck Jesse Kassa","KPI tracker exists, but this KPI item has not been validated with live deployment data yet.","Medium","Validate this KPI during Week 1/Week 2 deployment monitoring and attach evidence.",""
"Monitoring","Monitoring Lead checks KPIs every 48 hours","Not Tested","","Goodluck Jesse Kassa","Monitoring process has not been tested yet.","Medium","Run the monitoring cadence during deployment and record evidence.",""
"Monitoring","Missed KPI thresholds trigger team review","Not Tested","","Goodluck Jesse Kassa","Monitoring process has not been tested yet.","Medium","Run the monitoring cadence during deployment and record evidence.",""
"Monitoring","Weekly KPI summaries are submitted to Migaki","Not Tested","","Goodluck Jesse Kassa","Monitoring process has not been tested yet.","Medium","Run the monitoring cadence during deployment and record evidence.",""
"Monitoring","User issues are tracked by severity owner and status","Not Tested","","Goodluck Jesse Kassa","Monitoring process has not been tested yet.","Medium","Run the monitoring cadence during deployment and record evidence.",""
"Operational Readiness","All ownership roles have real names","Pass","","Goodluck Jesse Kassa","","","",""
"Operational Readiness","Internal team communication channel is active","Pass","","Goodluck Jesse Kassa","","","",""
"Operational Readiness","Issue reporting method is known to users","Pass","","Josiah","","","",""
"Operational Readiness","Escalation protocol is documented and shared","Pass","","Josiah","","","",""
"Operational Readiness","Rollback or contingency plan exists","Pass","","Goodluck Jesse Kassa","","","",""
"Operational Readiness","Student quick guide exists","Pass","","Kamsi Ivoke","","","",""
"Operational Readiness","Admin or president guide exists","Pass","","Kamsi Ivoke","","","",""
"Operational Readiness","FAQ exists","Fail","","Kamsi Ivoke","FAQ is not available in the app yet.","Medium","Create or link a student-facing FAQ/help section before Migaki sign-off.",""
"Operational Readiness","Support contact instructions exist","Pass","","Josiah","","","",""
"Operational Readiness","Patch schedule is agreed","Pass","","Goodluck Jesse Kassa","","","",""
"Operational Readiness","Migaki has been briefed on structure","Pass","","Goodluck Jesse Kassa","","","",""
"Week 1 Day 1","Migaki checklist reviewed","Pass","Migaki standard reviewed and readiness audit plan/tracker prepared.","Goodluck Jesse Kassa","","","",""
"Week 1 Day 1","Owners confirmed","Not Tested","","Goodluck Jesse Kassa","Deployment sprint item has not been tested/executed yet.","Medium","Execute this item during the deployment sprint and attach evidence.",""
"Week 1 Day 1","Production domain API auth and CORS tested","Not Tested","","Goodluck Jesse Kassa","Deployment sprint item has not been tested/executed yet.","Medium","Execute this item during the deployment sprint and attach evidence.",""
"Week 1 Day 1","Pilot user list finalized","Not Tested","","Goodluck Jesse Kassa","Deployment sprint item has not been tested/executed yet.","Medium","Execute this item during the deployment sprint and attach evidence.",""
"Week 1 Day 1","Onboarding messages prepared","Not Tested","","Rita Ude","Deployment sprint item has not been tested/executed yet.","Medium","Execute this item during the deployment sprint and attach evidence.",""
"Week 1 Day 2","Invitations sent","Not Tested","","Rita Ude","Deployment sprint item has not been tested/executed yet.","Medium","Execute this item during the deployment sprint and attach evidence.",""
"Week 1 Day 2","First logins supported","Not Tested","","Josiah","Deployment sprint item has not been tested/executed yet.","Medium","Execute this item during the deployment sprint and attach evidence.",""
"Week 1 Day 2","Onboarding completion tracked live","Not Tested","","Rita Ude","Deployment sprint item has not been tested/executed yet.","Medium","Execute this item during the deployment sprint and attach evidence.",""
"Week 1 Day 2","First issues logged and triaged","Not Tested","","Josiah","Deployment sprint item has not been tested/executed yet.","Medium","Execute this item during the deployment sprint and attach evidence.",""
"Week 1 Day 3-5","Onboarding gaps closed","Not Tested","","Rita Ude","Deployment sprint item has not been tested/executed yet.","Medium","Execute this item during the deployment sprint and attach evidence.",""
"Week 1 Day 3-5","Critical bugs addressed","Not Tested","","Goodluck Jesse Kassa","Deployment sprint item has not been tested/executed yet.","Medium","Execute this item during the deployment sprint and attach evidence.",""
"Week 1 Day 3-5","First feedback collected","Not Tested","","Goodluck Jesse Kassa","Deployment sprint item has not been tested/executed yet.","Medium","Execute this item during the deployment sprint and attach evidence.",""
"Week 1 Day 3-5","Core workflows validated with non-builders","Not Tested","","Goodluck Jesse Kassa","Deployment sprint item has not been tested/executed yet.","Medium","Execute this item during the deployment sprint and attach evidence.",""
"Week 2 Day 6-8","Primary workflows used by real users","Not Tested","","Goodluck Jesse Kassa","Deployment sprint item has not been tested/executed yet.","Medium","Execute this item during the deployment sprint and attach evidence.",""
"Week 2 Day 6-8","KPIs monitored every 48 hours","Not Tested","","Goodluck Jesse Kassa","Deployment sprint item has not been tested/executed yet.","Medium","Execute this item during the deployment sprint and attach evidence.",""
"Week 2 Day 6-8","Issues resolved within SLA","Not Tested","","Josiah","Deployment sprint item has not been tested/executed yet.","Medium","Execute this item during the deployment sprint and attach evidence.",""
"Week 2 Day 6-8","Mid-deployment feedback collected","Not Tested","","Goodluck Jesse Kassa","Deployment sprint item has not been tested/executed yet.","Medium","Execute this item during the deployment sprint and attach evidence.",""
"Week 2 Day 9-10","Final KPI measurement completed","Not Tested","","Goodluck Jesse Kassa","Deployment sprint item has not been tested/executed yet.","Medium","Execute this item during the deployment sprint and attach evidence.",""
"Week 2 Day 9-10","Open issues documented","Not Tested","","Josiah","Deployment sprint item has not been tested/executed yet.","Medium","Execute this item during the deployment sprint and attach evidence.",""
"Week 2 Day 9-10","Final feedback round collected","Not Tested","","Goodluck Jesse Kassa","Deployment sprint item has not been tested/executed yet.","Medium","Execute this item during the deployment sprint and attach evidence.",""
"Week 2 Day 9-10","Deployment summary prepared","Not Tested","","Goodluck Jesse Kassa","Deployment sprint item has not been tested/executed yet.","Medium","Execute this item during the deployment sprint and attach evidence.",""
"Evidence Package","CampusOne login screenshot captured","Not Tested","","Kamsi Ivoke","Requires CampusOne production validation.","High","Test this with the final CampusOne domain/login configuration and attach evidence.",""
"Evidence Package","Student dashboard screenshot captured","Pass","","Kamsi Ivoke","","","",""
"Evidence Package","Guided onboarding screenshot captured","Pass","","Kamsi Ivoke","","","",""
"Evidence Package","Discover Clubs screenshot captured","Pass","","Kamsi Ivoke","","","",""
"Evidence Package","Join form screenshot captured","Pass","","Kamsi Ivoke","","","",""
"Evidence Package","Dues submission screenshot captured","Pass","","Kamsi Ivoke","","","",""
"Evidence Package","Admin dues verification screenshot captured","Pass","","Kamsi Ivoke","","","",""
"Evidence Package","Proposal approval flow screenshot captured","Pass","","Kamsi Ivoke","","","",""
"Evidence Package","Event QR check-in screenshot captured","Pass","","Kamsi Ivoke","","","",""
"Evidence Package","Reports or downloads screenshot captured","Pass","","Kamsi Ivoke","","","",""
"Evidence Package","App Feedback form screenshot captured","Pass","","Kamsi Ivoke","","","",""
"Evidence Package","Feedback Manager inbox screenshot captured","Pass","","Kamsi Ivoke","","","",""
"Evidence Package","Admin feedback export captured","Pass","","Goodluck Jesse Kassa","","","",""
"Final Validation","Real users can complete primary workflow without team assistance","Pass","","Goodluck Jesse Kassa","","","",""
"Final Validation","Active users engage independently","Pass","","Goodluck Jesse Kassa","","","",""
"Final Validation","Issues can be tracked escalated and resolved within SLA","Pass","","Goodluck Jesse Kassa","","","",""
"Final Validation","Feedback has been collected and reviewed","Pass","","Goodluck Jesse Kassa","","","",""
"Final Validation","Platform is stable enough to continue after Buildathon","Pass","","Goodluck Jesse Kassa","","","",""
"Final Validation","Team can run NileHive independently","Pass","","Goodluck Jesse Kassa","","","",""
"Final Classification","Deployment classification selected as Successful Conditional or Incomplete","Pass","","Goodluck Jesse Kassa","","","",""
